ImagePath,ImageSize,FilterType,FilterSize,Time(s)
Convolution Images/image1.png,256x256,blur,3,0.001538
Convolution Images/image1.png,256x256,blur,5,0.003772
Convolution Images/image1.png,256x256,blur,7,0.007124
Convolution Images/image1.png,256x256,sharpen,3,0.001471
Convolution Images/image1.png,256x256,sharpen,5,0.003707
Convolution Images/image1.png,256x256,sharpen,7,0.006870
Convolution Images/image1.png,256x256,laplacian,3,0.001454
Convolution Images/image1.png,256x256,laplacian,5,0.003758
Convolution Images/image1.png,256x256,laplacian,7,0.007023
Convolution Images/image1.png,256x256,sobel_x,3,0.001436
Convolution Images/image1.png,256x256,sobel_x,5,0.003902
Convolution Images/image1.png,256x256,sobel_x,7,0.007087
Convolution Images/image2.png,512x512,blur,3,0.005958
Convolution Images/image2.png,512x512,blur,5,0.014461
Convolution Images/image2.png,512x512,blur,7,0.028025
Convolution Images/image2.png,512x512,sharpen,3,0.005970
Convolution Images/image2.png,512x512,sharpen,5,0.014721
Convolution Images/image2.png,512x512,sharpen,7,0.028010
Convolution Images/image2.png,512x512,laplacian,3,0.005903
Convolution Images/image2.png,512x512,laplacian,5,0.015056
Convolution Images/image2.png,512x512,laplacian,7,0.028902
Convolution Images/image2.png,512x512,sobel_x,3,0.005686
Convolution Images/image2.png,512x512,sobel_x,5,0.014903
Convolution Images/image2.png,512x512,sobel_x,7,0.029013
Convolution Images/image3.png,1024x1024,blur,3,0.023916
Convolution Images/image3.png,1024x1024,blur,5,0.062213
Convolution Images/image3.png,1024x1024,blur,7,0.112922
Convolution Images/image3.png,1024x1024,sharpen,3,0.022829
Convolution Images/image3.png,1024x1024,sharpen,5,0.059877
Convolution Images/image3.png,1024x1024,sharpen,7,0.110087
Convolution Images/image3.png,1024x1024,laplacian,3,0.023656
Convolution Images/image3.png,1024x1024,laplacian,5,0.060628
Convolution Images/image3.png,1024x1024,laplacian,7,0.123045
Convolution Images/image3.png,1024x1024,sobel_x,3,0.025106
Convolution Images/image3.png,1024x1024,sobel_x,5,0.060922
Convolution Images/image3.png,1024x1024,sobel_x,7,0.128892
