ImagePath,ImageSize,FilterType,FilterSize,Time(ms)
Convolution Images/image1.png,256x256,blur,3,4.378304
Convolution Images/image1.png,256x256,blur,5,0.978944
Convolution Images/image1.png,256x256,blur,7,0.815584
Convolution Images/image1.png,256x256,sharpen,3,0.815936
Convolution Images/image1.png,256x256,sharpen,5,0.907648
Convolution Images/image1.png,256x256,sharpen,7,0.842240
Convolution Images/image1.png,256x256,laplacian,3,0.833280
Convolution Images/image1.png,256x256,laplacian,5,0.750784
Convolution Images/image1.png,256x256,laplacian,7,0.722368
Convolution Images/image1.png,256x256,sobel_x,3,0.695520
Convolution Images/image1.png,256x256,sobel_x,5,0.883104
Convolution Images/image1.png,256x256,sobel_x,7,0.941216
Convolution Images/image2.png,512x512,blur,3,2.795872
Convolution Images/image2.png,512x512,blur,5,1.482912
Convolution Images/image2.png,512x512,blur,7,1.203584
Convolution Images/image2.png,512x512,sharpen,3,1.436096
Convolution Images/image2.png,512x512,sharpen,5,1.347648
Convolution Images/image2.png,512x512,sharpen,7,1.361888
Convolution Images/image2.png,512x512,laplacian,3,1.272192
Convolution Images/image2.png,512x512,laplacian,5,1.404928
Convolution Images/image2.png,512x512,laplacian,7,1.457792
Convolution Images/image2.png,512x512,sobel_x,3,1.276416
Convolution Images/image2.png,512x512,sobel_x,5,1.547840
Convolution Images/image2.png,512x512,sobel_x,7,1.572288
Convolution Images/image3.png,1024x1024,blur,3,3.987968
Convolution Images/image3.png,1024x1024,blur,5,2.499232
Convolution Images/image3.png,1024x1024,blur,7,2.129600
Convolution Images/image3.png,1024x1024,sharpen,3,2.941408
Convolution Images/image3.png,1024x1024,sharpen,5,2.552800
Convolution Images/image3.png,1024x1024,sharpen,7,2.274464
Convolution Images/image3.png,1024x1024,laplacian,3,2.656672
Convolution Images/image3.png,1024x1024,laplacian,5,2.268352
Convolution Images/image3.png,1024x1024,laplacian,7,2.452416
Convolution Images/image3.png,1024x1024,sobel_x,3,2.823296
Convolution Images/image3.png,1024x1024,sobel_x,5,3.063904
Convolution Images/image3.png,1024x1024,sobel_x,7,2.226144
